instance,conf.id,gen.seed,nodes,vehi,density,depot.placement,node.placement,solve.seed,time,resets,unused.vehi,cost,travel.time,total.tardiness,max.tardiness
HHCRSP_400_80_64_0.4_R_RC,0.4_R_RC,64,400,80,0.4,R,RC,1,45.8,0,1,1870.0,5601.0,6.0,3.0
HHCRSP_400_80_14_1.2_R_C,1.2_R_C,14,400,80,1.2,R,C,1,51.2,0,5,1214.3,3639.0,2.0,2.0
HHCRSP_400_80_23_0.4_R_C,0.4_R_C,23,400,80,0.4,R,C,1,47.3,0,0,1512.0,4519.0,13.0,4.0
HHCRSP_400_80_84_1.6_C_C,1.6_C_C,84,400,80,1.6,C,C,1,44.6,0,8,1162.0,3481.0,3.0,2.0
HHCRSP_400_80_11_1.2_C_RC,1.2_C_RC,11,400,80,1.2,C,RC,1,49.3,0,6,1798.0,5367.0,22.0,5.0
HHCRSP_400_80_42_0.4_R_RC,0.4_R_RC,42,400,80,0.4,R,RC,1,49.5,0,6,1786.7,5353.0,5.0,2.0
HHCRSP_400_80_48_1.6_C_RC,1.6_C_RC,48,400,80,1.6,C,RC,1,43.7,0,2,1829.7,5481.0,6.0,2.0
HHCRSP_400_80_45_0.8_C_RC,0.8_C_RC,45,400,80,0.8,C,RC,1,41.0,0,7,2037.3,6081.0,25.0,6.0
HHCRSP_400_80_44_1.0_C_C,1.0_C_C,44,400,80,1.0,C,C,1,45.8,0,3,1450.3,4340.0,7.0,4.0
HHCRSP_400_80_31_0.8_R_RC,0.8_R_RC,31,400,80,0.8,R,RC,1,44.8,0,2,1485.7,4438.0,16.0,3.0
HHCRSP_400_80_73_0.8_C_C,0.8_C_C,73,400,80,0.8,C,C,1,43.7,0,10,1668.7,4994.0,9.0,3.0
HHCRSP_400_80_62_1.2_C_RC,1.2_C_RC,62,400,80,1.2,C,RC,1,42.0,0,5,1793.3,5362.0,13.0,5.0
HHCRSP_400_80_17_1.2_C_RC,1.2_C_RC,17,400,80,1.2,C,RC,1,45.8,0,7,2111.0,6321.0,10.0,2.0
