instance,conf.id,gen.seed,nodes,vehi,density,depot.placement,node.placement,solve.iters,time,memory.mb,cost,travel.time,total.tardiness,max.tardiness
HHCRSP_10_3_60_1.0_R_R,1.0_R_R,60,10,3,1.0,R,R,1,0.003,14.1797,77.0133,231.04,0,0
HHCRSP_10_3_79_0.4_C_C,0.4_C_C,79,10,3,0.4,C,C,1,0.002,14.1875,38.7149,116.145,0,0
HHCRSP_10_3_53_1.0_C_R,1.0_C_R,53,10,3,1.0,C,R,62,0.002,14.1807,46.3471,139.041,0,0
HHCRSP_10_3_85_1.6_R_RC,1.6_R_RC,85,10,3,1.6,R,RC,1,0.002,14.1631,40.7062,122.118,0,0
HHCRSP_10_3_84_1.0_R_R,1.0_R_R,84,10,3,1.0,R,R,1,0.003,14.2373,54.3379,163.014,0,0
HHCRSP_10_3_86_1.0_C_RC,1.0_C_RC,86,10,3,1.0,C,RC,1,0.004,14.1719,44.0457,132.137,0,0
HHCRSP_10_3_25_1.2_C_C,1.2_C_C,25,10,3,1.2,C,C,1,0.002,14.1621,50.3713,151.114,0,0
HHCRSP_10_3_39_1.0_R_RC,1.0_R_RC,39,10,3,1.0,R,RC,1,0.003,14.1816,60.0215,180.064,0,0
HHCRSP_10_3_62_1.2_R_C,1.2_R_C,62,10,3,1.2,R,C,1,0.002,14.166,33.3485,100.046,0,0
HHCRSP_10_3_12_0.8_R_C,0.8_R_C,12,10,3,0.8,R,C,1,0.003,14.1816,50.3864,151.159,0,0
HHCRSP_10_3_31_1.0_C_RC,1.0_C_RC,31,10,3,1.0,C,RC,62,0.002,14.168,31.3647,94.0942,0,0
HHCRSP_10_3_13_0.8_R_RC,0.8_R_RC,13,10,3,0.8,R,RC,1,0.003,14.1797,60.7009,182.103,0,0
HHCRSP_10_3_87_0.8_R_C,0.8_R_C,87,10,3,0.8,R,C,1,0.003,14.1494,60.8015,182.405,0,0
HHCRSP_10_3_93_1.0_R_RC,1.0_R_RC,93,10,3,1.0,R,RC,1,0.002,14.1816,54.0084,162.025,0,0
HHCRSP_10_3_85_1.2_C_C,1.2_C_C,85,10,3,1.2,C,C,62,0.002,14.165,40.7026,122.108,0,0
HHCRSP_10_3_36_1.0_R_R,1.0_R_R,36,10,3,1.0,R,R,1,0.003,14.1484,79.3501,238.05,0,0
HHCRSP_10_3_91_0.4_C_RC,0.4_C_RC,91,10,3,0.4,C,RC,1,0.002,14.1699,66.6806,200.042,0,0
HHCRSP_10_3_14_0.8_C_C,0.8_C_C,14,10,3,0.8,C,C,1,0.003,14.1816,54.3642,163.093,0,0
HHCRSP_10_3_34_1.2_R_RC,1.2_R_RC,34,10,3,1.2,R,RC,1,0.003,14.1885,53.0007,159.002,0,0
HHCRSP_10_3_1_1.2_R_C,1.2_R_C,1,10,3,1.2,R,C,62,0.002,14.1221,55.7506,167.252,0,0
HHCRSP_10_3_24_0.8_R_C,0.8_R_C,24,10,3,0.8,R,C,1,0.002,14.1797,44.6962,134.089,0,0
HHCRSP_10_3_99_1.0_R_R,1.0_R_R,99,10,3,1.0,R,R,62,0.002,14.1816,57.0215,171.065,0,0
HHCRSP_10_3_96_1.2_R_RC,1.2_R_RC,96,10,3,1.2,R,RC,62,0.003,14.1914,52.3873,157.162,0,0
HHCRSP_10_3_60_1.2_R_RC,1.2_R_RC,60,10,3,1.2,R,RC,1,0.002,14.1807,54.6757,164.027,0,0
HHCRSP_10_3_34_1.2_C_RC,1.2_C_RC,34,10,3,1.2,C,RC,1,0.003,14.1807,48.3752,145.126,0,0
HHCRSP_10_3_14_0.8_R_RC,0.8_R_RC,14,10,3,0.8,R,RC,1,0.002,14.165,58.4303,175.291,0,0
HHCRSP_10_3_92_1.0_R_RC,1.0_R_RC,92,10,3,1.0,R,RC,1,0.003,14.1875,54.6852,164.055,0,0
HHCRSP_10_3_7_1.6_R_RC,1.6_R_RC,7,10,3,1.6,R,RC,1,0.002,14.1855,58.0275,174.083,0,0
HHCRSP_10_3_45_1.0_C_R,1.0_C_R,45,10,3,1.0,C,R,1,0.003,14.1855,55.0394,165.118,0,0
HHCRSP_10_3_65_1.2_R_C,1.2_R_C,65,10,3,1.2,R,C,1,0.002,14.1807,32.6725,98.0176,0,0
HHCRSP_10_3_75_0.8_C_RC,0.8_C_RC,75,10,3,0.8,C,RC,1,0.004,14.1846,66.0216,198.065,0,0
HHCRSP_10_3_32_0.8_C_RC,0.8_C_RC,32,10,3,0.8,C,RC,1,0.002,14.1807,60.0501,180.15,0,0
HHCRSP_10_3_50_1.6_R_RC,1.6_R_RC,50,10,3,1.6,R,RC,1,0.002,14.165,58.0844,174.253,0,0
HHCRSP_10_3_30_1.6_R_C,1.6_R_C,30,10,3,1.6,R,C,1,0.002,14.1855,28.0005,84.0014,0,0
HHCRSP_10_3_30_1.0_R_R,1.0_R_R,30,10,3,1.0,R,R,1,0.002,14.1787,51.3454,154.036,0,0
HHCRSP_10_3_17_1.0_C_R,1.0_C_R,17,10,3,1.0,C,R,62,0.002,14.1816,67.3398,202.019,0,0
HHCRSP_10_3_53_1.0_C_C,1.0_C_C,53,10,3,1.0,C,C,62,0.003,14.1846,39.682,119.046,0,0
HHCRSP_10_3_13_1.0_C_RC,1.0_C_RC,13,10,3,1.0,C,RC,1,0.003,14.2295,64.3726,193.118,0,0
HHCRSP_10_3_64_0.4_R_C,0.4_R_C,64,10,3,0.4,R,C,1,0.002,14.1855,42.4244,127.273,0,0
HHCRSP_10_3_96_1.6_C_C,1.6_C_C,96,10,3,1.6,C,C,1,0.002,14.1934,37.0165,111.05,0,0
HHCRSP_10_3_32_1.6_C_C,1.6_C_C,32,10,3,1.6,C,C,1,0.002,14.1846,51.0155,153.047,0,0
HHCRSP_10_3_70_1.6_R_C,1.6_R_C,70,10,3,1.6,R,C,1,0.003,14.125,41.6884,125.065,0,0
HHCRSP_10_3_9_1.0_R_R,1.0_R_R,9,10,3,1.0,R,R,1,0.002,14.1475,45.698,137.094,0,0
HHCRSP_10_3_4_1.0_R_R,1.0_R_R,4,10,3,1.0,R,R,1,0.002,14.1807,58.0055,174.016,0,0
HHCRSP_10_3_8_0.4_R_RC,0.4_R_RC,8,10,3,0.4,R,RC,1,0.002,14.1504,36.0079,108.024,0,0
HHCRSP_10_3_45_0.8_C_RC,0.8_C_RC,45,10,3,0.8,C,RC,62,0.003,14.1758,60.704,182.112,0,0
HHCRSP_10_3_35_0.4_R_C,0.4_R_C,35,10,3,0.4,R,C,1,0.003,14.1621,44.3895,133.168,0,0
HHCRSP_10_3_67_1.6_R_RC,1.6_R_RC,67,10,3,1.6,R,RC,62,0.003,14.1797,77.3376,232.013,0,0
HHCRSP_10_3_1_1.0_C_R,1.0_C_R,1,10,3,1.0,C,R,1,0.001,14.1455,76.7423,230.227,0,0
HHCRSP_10_3_6_1.0_C_RC,1.0_C_RC,6,10,3,1.0,C,RC,1,0.002,14.1816,29.68,89.0401,0,0
HHCRSP_10_3_41_1.6_C_C,1.6_C_C,41,10,3,1.6,C,C,1,0.003,14.2334,40.3725,121.117,0,0
HHCRSP_10_3_44_0.8_C_RC,0.8_C_RC,44,10,3,0.8,C,RC,1,0.002,14.1855,42.3504,127.051,0,0
HHCRSP_10_3_95_1.2_C_RC,1.2_C_RC,95,10,3,1.2,C,RC,62,0.003,14.1787,66.3523,199.057,0,0
HHCRSP_10_3_26_1.0_C_R,1.0_C_R,26,10,3,1.0,C,R,1,0.002,14.168,64.0256,192.077,0,0
HHCRSP_10_3_75_1.0_R_RC,1.0_R_RC,75,10,3,1.0,R,RC,1,0.003,14.1914,54.0389,162.117,0,0
HHCRSP_10_3_40_1.0_C_R,1.0_C_R,40,10,3,1.0,C,R,1,0.002,14.2334,56.0273,168.082,0,0
HHCRSP_10_3_19_1.6_C_RC,1.6_C_RC,19,10,3,1.6,C,RC,1,0.002,14.1865,43.0655,129.197,0,0
HHCRSP_10_3_98_1.0_C_R,1.0_C_R,98,10,3,1.0,C,R,1,0.002,14.1719,41.0968,123.29,0,0
HHCRSP_10_3_19_0.4_R_C,0.4_R_C,19,10,3,0.4,R,C,1,0.002,14.1875,46.3588,139.077,0,0
HHCRSP_10_3_21_1.6_R_C,1.6_R_C,21,10,3,1.6,R,C,1,0.002,14.1914,44.351,133.053,0,0
HHCRSP_10_3_10_0.4_C_C,0.4_C_C,10,10,3,0.4,C,C,1,0.002,14.1621,44.3377,133.013,0,0
HHCRSP_10_3_7_1.6_R_C,1.6_R_C,7,10,3,1.6,R,C,1,0.002,14.2344,43.6787,131.036,0,0
HHCRSP_10_3_63_1.0_C_C,1.0_C_C,63,10,3,1.0,C,C,1,0.003,14.2412,51.0298,153.089,0,0
HHCRSP_10_3_15_1.0_C_C,1.0_C_C,15,10,3,1.0,C,C,1,0.004,14.1797,54.0247,162.074,0,0
HHCRSP_10_3_53_0.8_C_C,0.8_C_C,53,10,3,0.8,C,C,1,0.002,14.1797,38.6793,116.038,0,0
HHCRSP_10_3_11_0.4_R_C,0.4_R_C,11,10,3,0.4,R,C,1,0.004,14.1846,61.0153,183.046,0,0
HHCRSP_10_3_98_0.8_R_RC,0.8_R_RC,98,10,3,0.8,R,RC,1,0.003,14.1641,41.0736,123.221,0,0
HHCRSP_10_3_65_1.2_C_RC,1.2_C_RC,65,10,3,1.2,C,RC,1,0.003,14.1816,38.0014,114.004,0,0
HHCRSP_10_3_23_0.4_C_C,0.4_C_C,23,10,3,0.4,C,C,1,0.004,14.1865,24.3784,73.1353,0,0
HHCRSP_10_3_41_0.4_C_RC,0.4_C_RC,41,10,3,0.4,C,RC,1,0.003,14.2344,74.3498,223.049,0,0
HHCRSP_10_3_10_0.4_R_C,0.4_R_C,10,10,3,0.4,R,C,62,0.003,14.1846,45.3365,136.009,0,0
HHCRSP_10_3_66_1.6_R_C,1.6_R_C,66,10,3,1.6,R,C,1,0.002,14.2324,41.6695,125.008,0,0
